Id,SalePrice
1461,130322.46389764537
1462,134760.6730491326
1463,190906.0333004514
1464,186086.92023660807
1465,178736.22530821862
1466,186114.4437276269
1467,183587.2868249884
1468,184115.2374254406
1469,128513.41989704374
1470,126291.52353115959
1471,179803.3861190853
1472,117884.34809267899
1473,119013.48298303809
1474,176456.2005155629
1475,118634.98875682904
1476,189689.99542452832
1477,189721.2721188679
1478,188016.0667434737
1479,191271.34509033777
1480,191494.03515403564
1481,190680.8411012064
1482,181397.24646263057
1483,196741.0133964445
1484,176481.80118022132
1485,190242.9673804522
1486,184334.17428581772
1487,196542.76537903157
1488,183717.97718262783
1489,184003.22063500484
1490,185535.77865764452
1491,188516.4938529071
1492,128043.01841417637
1493,192882.72038271322
1494,191175.68463035868
1495,188662.2894732296
1496,178523.54378670943
1497,176872.13432557933
1498,176496.8139935043
1499,175657.34751742985
1500,175657.34751742985
1501,176202.8130667122
1502,175480.94696135458
1503,130733.39343656748
1504,182835.39509306476
1505,183612.30818046007
1506,187814.06552274004
1507,188233.17322689047
1508,253862.20651115835
1509,130051.07464017787
1510,128921.93974981878
1511,129297.26008189381
1512,185714.1020400802
1513,186865.08439177697
1514,193580.32934058612
1515,185769.1490221179
1516,195322.3025412009
1517,130019.70549643818
1518,185075.47816636594
1519,183858.768531856
1520,126982.78470076447
1521,130329.39099510013
1522,129462.40102800682
1523,127398.13920159417
1524,129481.74635379731
1525,130542.07251660932
1526,132780.8120727368
1527,125663.4875088207
1528,127000.29964959464
1529,126463.59157472735
1530,127992.97570323304
1531,122916.81443661836
1532,121393.59319758049
1533,124174.1375490697
1534,125544.05676114354
1535,131738.09330815508
1536,127219.23650997174
1537,127862.86465478037
1538,185614.01661819353
1539,241555.45282241824
1540,186048.8088942138
1541,128993.82992209977
1542,124205.41424340928
1543,126661.26028295353
1544,122037.89310097595
1545,123288.96087455937
1546,124418.09576491846
1547,124868.4801634085
1548,124418.09576491846
1549,123589.21714021939
1550,182539.56378931232
1551,123439.08900738938
1552,128166.96657316123
1553,133050.4634026441
1554,120749.96505277188
1555,192698.81341999647
1556,130213.04169215687
1557,129297.26008189381
1558,124419.34683269204
1559,126108.9600856165
1560,180041.08899606613
1561,188210.65400696598
1562,126670.01775736862
1563,125580.9170357642
1564,126199.61627450126
1565,132086.5619077981
1566,139752.34101633035
1567,127366.19074866775
1568,196103.64059050378
1569,198002.7614708034
1570,131272.69609638205
1571,128609.17280642292
1572,128828.10966680002
1573,136528.3393638059
1574,187615.725055927
1575,129641.21127022915
1576,189068.21474105737
1577,181682.48991500758
1578,191412.7157487527
1579,129675.66185870273
1580,185284.9857937411
1581,135977.96199282928
1582,126269.67606982193
1583,186601.10909155087
1584,186461.66125949635
1585,120201.90491854223
1586,126763.17608180054
1587,127973.63037744255
1588,129477.41384128982
1589,130535.14541915455
1590,124799.67143586141
1591,124931.03355208767
1592,178546.06300663395
1593,125653.47896663204
1594,242690.93550104534
1595,129220.94494770521
1596,131116.98438327096
1597,195378.69304041224
1598,198180.99240383902
1599,119541.34113409018
1600,177362.55289282405
1601,124854.62596849898
1602,127217.31368361131
1603,127810.9915668767
1604,177242.45038656003
1605,187428.0648898895
1606,185639.03797366522
1607,248517.73743181006
1608,188486.46822634107
1609,184738.8484858719
1610,185866.73230845737
1611,134923.8911688852
1612,186257.06545381542
1613,188460.19580309582
1614,118777.61048301756
1615,118758.26515722707
1616,119288.71789322644
1617,119276.2072154906
1618,125610.36335314346
1619,131905.0646312284
1620,297750.2764754937
